Logistic function
2
log Dose
Response
13
 -1.70 2615
 -1.40 2474
 -1.22 2152
 -1.10 2114
 -1    1862
 -0.70 1364
 -0.40 910
 -0.22 702
 -0.10 586
  0    501
  0.18 392
  0.30 330
  0.60 250
